period_key,member_key,source_system,member_tier,group_key,pc_volume,sp_reward_basis,global_reward_usd,pool_reward_usd,cashout_usd,sink_spend_usd,active_member,recognized_revenue_usd,gross_margin_usd,member_join_period,is_affiliate,cross_app_active,extra_json
2024-04,PARAMS-01,bgc,starter,GROUP-A,21492041.05,170564.20927012,28966.84558074,10146.65,28966.84822177,97.23422849,true,214916.97105264,75221.10989477,2024-04,,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-04"",""data_agg_period_key"":""2024-04""}"
2024-04,PARAMS-03,bgc,starter,GROUP-A,15522029.65,123185.26357663,20920.50147309,7328.13,20920.49789046,70.22847674,true,155217.81631573,54326.35603512,2024-04,,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-04"",""data_agg_period_key"":""2024-04""}"
2024-04,B103740856,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-04,B141668013,iblooming,pioneer,,0,0,0,0,0,0.99,true,0.99,0.297,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-04,B159763976,iblooming,special,,0,0,0,0,0,0.99,true,0.99,0.297,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-04,B217721807,iblooming,special,,0,0,0,0,0,2.97,true,2.97,0.891,2024-04,true,true,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":true}"
2024-04,CP-04MHHCI,iblooming,special,,0,0,0,0,0,3.96,true,3.96,1.188,2024-04,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-04,CP-0NLQKDI,iblooming,voyager,,0,0,0,0,0,0.99,true,0.99,0.297,2024-04,,,"{""source_files"":[""CP Videos Sold - Sheet1.csv""],""source_categories"":[""cp_video_sale""],""matched_to_bgc_id"":false}"
2024-04,PARAMS-02,iblooming,starter,GROUP-A,17910034.21,142136.84185402,24139.04364494,8455.54,24139.0428871,81.02691396,true,179097.47421056,62684.26157893,2024-04,true,true,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-04"",""data_agg_period_key"":""2024-04""}"
2024-04,PARAMS-04,iblooming,starter,GROUP-B,13134025.09,104233.68529923,17701.95930124,6200.73,17701.96100067,59.42038081,true,131338.14842107,45968.46049118,2024-04,true,,"{""source_files"":[""Copy of SIMULATION SHEETS v0.1 - PARAMS.csv"",""Copy of SIMULATION SHEETS v0.1 - DATA_AGG.csv""],""source_categories"":[""params_monthly_topup"",""data_agg_monthly_override""],""top_up_strategy"":""monthly_gap_against_existing_bundle"",""params_period_key"":""2024-04"",""data_agg_period_key"":""2024-04""}"
