record_type,snapshot_id,stable_key,display_name,group_key,join_period,member_stable_key,source_system,alias_key,alias_type,confidence,role_type,role_value,effective_from,effective_to,source_event_ref,offer_code,offer_type,label,price_fiat_usd,pc_grant,sp_accrual,pc_grant_rule,lts_generation_rule,reward_rule_reference,event_ref,event_type,occurred_at,effective_period,actor_member_stable_key,beneficiary_member_stable_key,related_member_stable_key,quantity,amount,unit,recognized_revenue_usd,gross_margin_usd,cash_in_usd,internal_credit_spent_usd,payment_method,entry_type,amount_pc,amount_sp,sink_spend_usd,reward_source_code,distribution_cycle,obligation_status,origin_join_level,tier,imatrix_plan,eligibility_snapshot_key,pool_code,recipient_member_stable_key,share_count,pool_recipient_count,pool_share_total,amount_usd,fee_usd,cashout_source_system,breakdown_key,scenario_code,policy_group,qualification_type,window_key,starts_at,ends_at,threshold_amount,threshold_unit,status,source_window_key,metadata
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,BGC,,,,,,,,,BGC_JOIN_PATHFINDER,BGC_AFFILIATE_JOIN,BGC PATHFINDER Entry/Upgrade,100,10000,70,,,BGC_REWARD_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,BGC,,,,,,,,,BGC_JOIN_VOYAGER,BGC_AFFILIATE_JOIN,BGC VOYAGER Entry/Upgrade,500,50000,350,,,BGC_REWARD_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,BGC,,,,,,,,,BGC_JOIN_EXPLORER,BGC_AFFILIATE_JOIN,BGC EXPLORER Entry/Upgrade,1725,172500,1207,,,BGC_REWARD_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,BGC,,,,,,,,,BGC_JOIN_PIONEER,BGC_AFFILIATE_JOIN,BGC PIONEER Entry/Upgrade,2875,287500,2012,,,BGC_REWARD_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,BGC,,,,,,,,,BGC_JOIN_SPECIAL,BGC_AFFILIATE_JOIN,BGC SPECIAL Entry/Upgrade,11500,1150000,8050,,,BGC_REWARD_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,IBLOOMING,,,,,,,,,IBOOMIE_AI_CHAT,IB_CP_DIGITAL_PRODUCT,iBoomie AI Chat,12,,,,,IBLOOMING_REBATE_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,IBLOOMING,,,,,,,,,IB_GIM_TIER_1,IB_GIM_PRODUCT,iBlooming GIM Tier 1,20,,,,,IBLOOMING_REBATE_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,IBLOOMING,,,,,,,,,IB_GIM_TIER_2,IB_GIM_PRODUCT,iBlooming GIM Tier 2,20,,,,,IBLOOMING_REBATE_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,IBLOOMING,,,,,,,,,IB_IMATRIX_FOUNDATION,IB_IMATRIX_PRODUCT,iMatrix FOUNDATION,30,,,,,IBLOOMING_REBATE_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
offer,case-10m-12m-bgc-iblooming-full-detail-csv,,,,,,IBLOOMING,,,,,,,,,IB_IMATRIX_PRO,IB_IMATRIX_PRODUCT,iMatrix PRO,120,,,,,IBLOOMING_REBATE_MATRIX_V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""source_note"":""Offer/catalog row.""}"
