period_key,member_key,source_system,member_tier,group_key,recognized_revenue_usd,gross_margin_usd,cash_in_usd,internal_credit_spent_usd,payment_method,pc_volume,sp_reward_basis,global_reward_usd,pool_reward_usd,cashout_usd,sink_spend_usd,active_member,member_join_period,is_affiliate,cross_app_active,extra_json
2026-01,BGC-2026-01-ENTRY-PATHFINDER,bgc,PATHFINDER,FOUNDERS,7989500,7989500,7989500,639160,MIXED,798950000,5592650,559265,223706,10737.89,639160,true,2026-01,true,false,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""bgc_affiliate_entry_upgrade"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":79895,""cohort_type"":""bgc_affiliate_entry_or_upgrade"",""cashflow_basis"":""Membership/upgrade creates new cash. Product use in the same period spends internal credit."",""cash_in_usd"":7989500,""internal_credit_spent_usd"":639160,""payment_method"":""MIXED"",""recognized_revenue_basis"":{""basis"":""aggregate_affiliate_entry_upgrade_revenue"",""offer_code"":""BGC_JOIN_PATHFINDER"",""unit_price_usd"":100,""cohort_member_count"":79895,""aggregate_revenue_usd"":7989500},""gross_margin_basis"":{""gross_margin_usd"":7989500},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""PC"",""WEC eligibility"",""SP/LTS"",""RR"",""GR"",""GPSP"",""WEC Pool""],""pc_breakdown"":{""GRANT"":798950000},""sp_breakdown"":{""ACCRUAL"":5592650},""global_reward_breakdown_usd"":{""BGC_RR"":559265},""pool_reward_breakdown_usd"":{""BGC_GPSP_MONTHLY_POOL"":223706},""cashout_breakdown_usd"":{""CASHOUT"":10737.89},""sink_breakdown_usd"":{""BGC_INTERNAL_PRODUCT_USE"":639160},""active_roles"":[""AFFILIATE_LEVEL:PATHFINDER""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":10737.89,""sink_total_usd"":639160}}"
2026-01,BGC-2026-01-ENTRY-VOYAGER,bgc,VOYAGER,FOUNDERS,27519500,27519500,27519500,440312,MIXED,2751950000,19263650,7512823.5,770546,137542.46,440312,true,2026-01,true,false,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""bgc_affiliate_entry_upgrade"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":55039,""cohort_type"":""bgc_affiliate_entry_or_upgrade"",""cashflow_basis"":""Membership/upgrade creates new cash. Product use in the same period spends internal credit."",""cash_in_usd"":27519500,""internal_credit_spent_usd"":440312,""payment_method"":""MIXED"",""recognized_revenue_basis"":{""basis"":""aggregate_affiliate_entry_upgrade_revenue"",""offer_code"":""BGC_JOIN_VOYAGER"",""unit_price_usd"":500,""cohort_member_count"":55039,""aggregate_revenue_usd"":27519500},""gross_margin_basis"":{""gross_margin_usd"":27519500},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""PC"",""WEC eligibility"",""SP/LTS"",""RR"",""GR"",""GPSP"",""WEC Pool""],""pc_breakdown"":{""GRANT"":2751950000},""sp_breakdown"":{""ACCRUAL"":19263650},""global_reward_breakdown_usd"":{""BGC_RR"":1926365,""BGC_GR"":5586458.5},""pool_reward_breakdown_usd"":{""BGC_GPSP_MONTHLY_POOL"":770546},""cashout_breakdown_usd"":{""CASHOUT"":137542.46},""sink_breakdown_usd"":{""BGC_INTERNAL_PRODUCT_USE"":440312},""active_roles"":[""AFFILIATE_LEVEL:VOYAGER""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":137542.46,""sink_total_usd"":440312}}"
2026-01,BGC-2026-01-ENTRY-EXPLORER,bgc,EXPLORER,FOUNDERS,59721225,59721225,59721225,276968,MIXED,5972122500,41787547,17968645.21,1671501.88,328450.12,276968,true,2026-01,true,false,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""bgc_affiliate_entry_upgrade"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":34621,""cohort_type"":""bgc_affiliate_entry_or_upgrade"",""cashflow_basis"":""Membership/upgrade creates new cash. Product use in the same period spends internal credit."",""cash_in_usd"":59721225,""internal_credit_spent_usd"":276968,""payment_method"":""MIXED"",""recognized_revenue_basis"":{""basis"":""aggregate_affiliate_entry_upgrade_revenue"",""offer_code"":""BGC_JOIN_EXPLORER"",""unit_price_usd"":1725,""cohort_member_count"":34621,""aggregate_revenue_usd"":59721225},""gross_margin_basis"":{""gross_margin_usd"":59721225},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""PC"",""WEC eligibility"",""SP/LTS"",""RR"",""GR"",""GPSP"",""WEC Pool""],""pc_breakdown"":{""GRANT"":5972122500},""sp_breakdown"":{""ACCRUAL"":41787547},""global_reward_breakdown_usd"":{""BGC_RR"":5014505.64,""BGC_GR"":12954139.57},""pool_reward_breakdown_usd"":{""BGC_GPSP_MONTHLY_POOL"":1671501.88},""cashout_breakdown_usd"":{""CASHOUT"":328450.12},""sink_breakdown_usd"":{""BGC_INTERNAL_PRODUCT_USE"":276968},""active_roles"":[""AFFILIATE_LEVEL:EXPLORER""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":328450.12,""sink_total_usd"":276968}}"
2026-01,BGC-2026-01-ENTRY-PIONEER,bgc,PIONEER,FOUNDERS,18885875,18885875,18885875,105104,MIXED,1888587500,13216828,6344077.44,726925.54,116374.17,105104,true,2026-01,true,true,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""bgc_affiliate_entry_upgrade"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":6569,""cohort_type"":""bgc_affiliate_entry_or_upgrade"",""cashflow_basis"":""Membership/upgrade creates new cash. Product use in the same period spends internal credit."",""cash_in_usd"":18885875,""internal_credit_spent_usd"":105104,""payment_method"":""MIXED"",""recognized_revenue_basis"":{""basis"":""aggregate_affiliate_entry_upgrade_revenue"",""offer_code"":""BGC_JOIN_PIONEER"",""unit_price_usd"":2875,""cohort_member_count"":6569,""aggregate_revenue_usd"":18885875},""gross_margin_basis"":{""gross_margin_usd"":18885875},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""PC"",""WEC eligibility"",""SP/LTS"",""RR"",""GR"",""GPSP"",""WEC Pool""],""pc_breakdown"":{""GRANT"":1888587500},""sp_breakdown"":{""ACCRUAL"":13216828},""global_reward_breakdown_usd"":{""BGC_RR"":1982524.2,""BGC_GR"":4361553.24},""pool_reward_breakdown_usd"":{""BGC_GPSP_MONTHLY_POOL"":528673.12,""BGC_WEC_QUARTERLY_POOL"":198252.42},""cashout_breakdown_usd"":{""CASHOUT"":116374.17},""sink_breakdown_usd"":{""BGC_INTERNAL_PRODUCT_USE"":105104},""active_roles"":[""AFFILIATE_LEVEL:PIONEER""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":116374.17,""sink_total_usd"":105104}}"
2026-01,BGC-2026-01-ENTRY-SPECIAL,bgc,SPECIAL,FOUNDERS,16330000,16330000,16330000,22720,MIXED,1633000000,11431000,5486880,628705,100649.96,22720,true,2026-01,true,true,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""bgc_affiliate_entry_upgrade"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":1420,""cohort_type"":""bgc_affiliate_entry_or_upgrade"",""cashflow_basis"":""Membership/upgrade creates new cash. Product use in the same period spends internal credit."",""cash_in_usd"":16330000,""internal_credit_spent_usd"":22720,""payment_method"":""MIXED"",""recognized_revenue_basis"":{""basis"":""aggregate_affiliate_entry_upgrade_revenue"",""offer_code"":""BGC_JOIN_SPECIAL"",""unit_price_usd"":11500,""cohort_member_count"":1420,""aggregate_revenue_usd"":16330000},""gross_margin_basis"":{""gross_margin_usd"":16330000},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""PC"",""WEC eligibility"",""SP/LTS"",""RR"",""GR"",""GPSP"",""WEC Pool""],""pc_breakdown"":{""GRANT"":1633000000},""sp_breakdown"":{""ACCRUAL"":11431000},""global_reward_breakdown_usd"":{""BGC_RR"":1714650,""BGC_GR"":3772230},""pool_reward_breakdown_usd"":{""BGC_GPSP_MONTHLY_POOL"":457240,""BGC_WEC_QUARTERLY_POOL"":171465},""cashout_breakdown_usd"":{""CASHOUT"":100649.96},""sink_breakdown_usd"":{""BGC_INTERNAL_PRODUCT_USE"":22720},""active_roles"":[""AFFILIATE_LEVEL:SPECIAL""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":100649.96,""sink_total_usd"":22720}}"
2026-01,IB-2026-01-IBOOMIE-FIAT,iblooming,CP,IBOOMIE_CP_CREATORS,10282800,10282800,34276000,0,FIAT,0,41131200,1542420,411312,30848.4,0,true,2026-01,false,false,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""iblooming_iboomie_ai_chat_sale"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":2856333,""cohort_type"":""iblooming_cp_product_sale"",""cashflow_basis"":""Fiat sale creates new cash."",""cash_in_usd"":34276000,""internal_credit_spent_usd"":0,""payment_method"":""FIAT"",""recognized_revenue_basis"":{""gross_sale_usd"":34276000,""cp_user_share_usd"":23993200,""ib_platform_revenue_usd"":10282800,""platform_take_rate_pct"":30},""gross_margin_basis"":{""gross_margin_usd"":10282800},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""iBlooming rebate reward"",""LR"",""CPR"",""GPS"",""GMP"",""Sales Point""],""sp_breakdown"":{""IB_SALES_POINT"":41131200},""global_reward_breakdown_usd"":{""IB_LR"":1028280,""IB_CPR"":514140},""pool_reward_breakdown_usd"":{""IB_GPS_SEMIANNUAL_POOL"":257070,""IB_GMP_MONTHLY_POOL"":154242},""cashout_breakdown_usd"":{""CASHOUT"":30848.4},""sink_breakdown_usd"":{},""active_roles"":[""CP_STATUS:CP""],""active_qualifications"":[""CPR_YEAR_1:ACTIVE""],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":30848.4,""sink_total_usd"":0,""gross_sale_split_matches_sink_total"":true}}"
2026-01,IB-2026-01-IBOOMIE-PC,iblooming,CP,IBOOMIE_CP_CREATORS,6543600,6543600,0,21812000,PC,0,26174400,981540,261744,19630.8,21812000,true,2026-01,false,true,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""iblooming_iboomie_ai_chat_sale"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":1817667,""cohort_type"":""iblooming_cp_product_sale"",""cashflow_basis"":""PC payment spends internal credit, not new cash."",""cash_in_usd"":0,""internal_credit_spent_usd"":21812000,""payment_method"":""PC"",""recognized_revenue_basis"":{""gross_sale_usd"":21812000,""cp_user_share_usd"":15268400,""ib_platform_revenue_usd"":6543600,""platform_take_rate_pct"":30},""gross_margin_basis"":{""gross_margin_usd"":6543600},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""iBlooming rebate reward"",""LR"",""CPR"",""GPS"",""GMP"",""Sales Point""],""sp_breakdown"":{""IB_SALES_POINT"":26174400},""global_reward_breakdown_usd"":{""IB_LR"":654360,""IB_CPR"":327180},""pool_reward_breakdown_usd"":{""IB_GPS_SEMIANNUAL_POOL"":163590,""IB_GMP_MONTHLY_POOL"":98154},""cashout_breakdown_usd"":{""CASHOUT"":19630.8},""sink_breakdown_usd"":{""PC_SPEND"":21812000},""active_roles"":[""CP_STATUS:CP""],""active_qualifications"":[""CPR_YEAR_1:ACTIVE""],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":19630.8,""sink_total_usd"":21812000,""gross_sale_split_matches_sink_total"":true}}"
2026-01,IB-2026-01-IBOOMIE-ALPHA,iblooming,CP,IBOOMIE_CP_CREATORS,1869600,1869600,0,6232000,ALPHA,0,7478400,280440,74784,5608.8,6232000,true,2026-01,false,true,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""iblooming_iboomie_ai_chat_sale"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":519333,""cohort_type"":""iblooming_cp_product_sale"",""cashflow_basis"":""ALPHA payment spends internal credit, not new cash."",""cash_in_usd"":0,""internal_credit_spent_usd"":6232000,""payment_method"":""ALPHA"",""recognized_revenue_basis"":{""gross_sale_usd"":6232000,""cp_user_share_usd"":4362400,""ib_platform_revenue_usd"":1869600,""platform_take_rate_pct"":30},""gross_margin_basis"":{""gross_margin_usd"":1869600},""case_member_mix"":{""unique_members"":10000000,""bgc_source_members"":6400000,""iblooming_source_members"":5800000,""cross_app_overlap_members"":2200000,""bgc_affiliate_entry_or_upgrade_events"":3150000,""iblooming_channel_providers"":1600000,""iblooming_ai_users"":4200000,""note"":""Unique members = BGC source members + iBlooming source members - cross-app overlap.""},""affected_programs"":[""iBlooming rebate reward"",""LR"",""CPR"",""GPS"",""GMP"",""Sales Point""],""sp_breakdown"":{""IB_SALES_POINT"":7478400},""global_reward_breakdown_usd"":{""IB_LR"":186960,""IB_CPR"":93480},""pool_reward_breakdown_usd"":{""IB_GPS_SEMIANNUAL_POOL"":46740,""IB_GMP_MONTHLY_POOL"":28044},""cashout_breakdown_usd"":{""CASHOUT"":5608.8},""sink_breakdown_usd"":{""ALPHA_SPEND"":6232000},""active_roles"":[""CP_STATUS:CP""],""active_qualifications"":[""CPR_YEAR_1:ACTIVE""],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":5608.8,""sink_total_usd"":6232000,""gross_sale_split_matches_sink_total"":true}}"
2026-01,IB-2026-01-GIM-TIER-1,iblooming,CP,IBLOOMING_GIM,3099600,3099600,7749000,2583000,MIXED,0,8265600,1549800,37195.2,23247,2583000,true,2026-01,false,true,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""iblooming_gim_signup"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":516600,""cohort_type"":""iblooming_gim_tier_1"",""cashflow_basis"":""Mixed payment: part fiat cash, part internal credit."",""cash_in_usd"":7749000,""internal_credit_spent_usd"":2583000,""payment_method"":""MIXED"",""recognized_revenue_basis"":{""gross_sale_usd"":10332000,""cp_user_share_usd"":7232400,""ib_platform_revenue_usd"":3099600,""platform_take_rate_pct"":30},""gross_margin_basis"":{""gross_margin_usd"":3099600},""event_counts"":{""GIM_SIGNUP_TIER_1"":516600},""sp_breakdown"":{""IB_SALES_POINT"":8265600},""global_reward_breakdown_usd"":{""IB_GRR"":1549800},""pool_reward_breakdown_usd"":{""IB_GMP_MONTHLY_POOL"":37195.2},""cashout_breakdown_usd"":{""CASHOUT"":23247},""sink_breakdown_usd"":{""MIXED_INTERNAL_CREDIT_SPEND"":2583000},""active_roles"":[""CP_STATUS:CP""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":23247,""sink_total_usd"":2583000,""gross_sale_split_matches_sink_total"":true}}"
2026-01,IB-2026-01-GIM-TIER-2,iblooming,CP,IBLOOMING_GIM,1328400,1328400,4428000,0,FIAT,0,3542400,177120,15940.8,2656.8,0,true,2026-01,false,false,"{""aggregate_row"":true,""row_semantics"":""compatibility_member_month_fact"",""source_of_truth_reference"":""understanding_doc_fixed"",""source_categories"":[""aggregate_cohort"",""iblooming_gim_signup"",""case_10m_12m_business_sample"",""hybrid_data_review_file"",""monthly_overlay""],""cohort_member_count"":221400,""cohort_type"":""iblooming_gim_tier_2"",""cashflow_basis"":""Fiat sale creates new cash."",""cash_in_usd"":4428000,""internal_credit_spent_usd"":0,""payment_method"":""FIAT"",""recognized_revenue_basis"":{""gross_sale_usd"":4428000,""cp_user_share_usd"":3099600,""ib_platform_revenue_usd"":1328400,""platform_take_rate_pct"":30},""gross_margin_basis"":{""gross_margin_usd"":1328400},""event_counts"":{""GIM_SIGNUP_TIER_2"":221400},""sp_breakdown"":{""IB_SALES_POINT"":3542400},""global_reward_breakdown_usd"":{""IB_GRR"":177120},""pool_reward_breakdown_usd"":{""IB_GMP_MONTHLY_POOL"":15940.8},""cashout_breakdown_usd"":{""CASHOUT"":2656.8},""sink_breakdown_usd"":{},""active_roles"":[""CP_STATUS:CP""],""active_qualifications"":[],""accountability_checks"":{""global_reward_breakdown_matches_total"":true,""pool_reward_breakdown_matches_total"":true,""cashout_total_usd"":2656.8,""sink_total_usd"":0,""gross_sale_split_matches_sink_total"":true}}"
