period_key,member_key,source_system,member_tier,group_key,pc_volume,sp_reward_basis,global_reward_usd,pool_reward_usd,cashout_usd,sink_spend_usd,active_member,recognized_revenue_usd,gross_margin_usd,member_join_period,is_affiliate,cross_app_active
2024-04,PARAMS-01,bgc,starter,GROUP-A,21492041.05,357312.79,25584.63,10146.65,35731.28,100.67,true,214920.41,75222.14,2024-04,false,false
2024-04,PARAMS-02,iblooming,starter,GROUP-A,17910034.21,297760.66,21320.53,8455.54,29776.07,83.89,true,179100.34,62685.12,2024-04,true,true
2024-04,PARAMS-03,bgc,starter,GROUP-A,15522029.65,258059.24,18477.79,7328.13,25805.92,72.71,true,155220.30,54327.10,2024-04,false,false
2024-04,PARAMS-04,iblooming,starter,GROUP-B,13134025.09,218357.82,15635.05,6200.73,21835.78,61.52,true,131340.25,45969.09,2024-04,true,false
2024-05,PARAMS-01,bgc,starter,GROUP-A,18407497.89,184224.47,16421.37,2001.08,18422.45,2670.25,true,184074.98,64426.24,2024-04,false,false
2024-05,PARAMS-02,iblooming,starter,GROUP-A,15339581.58,153520.39,13684.47,1667.57,15352.04,2225.21,true,153395.82,53688.53,2024-04,true,true
2024-05,PARAMS-03,bgc,starter,GROUP-A,13294304.04,133051.01,11859.88,1445.22,13305.10,1928.52,true,132943.04,46530.06,2024-04,false,false
2024-05,PARAMS-04,iblooming,starter,GROUP-B,11249026.49,112581.62,10035.28,1222.88,11258.16,1631.82,true,112490.26,39371.59,2024-04,true,false
2024-06,PARAMS-01,bgc,starter,GROUP-A,8756346.32,110880.00,8727.16,2360.84,11088.00,2631.00,true,87563.46,30647.21,2024-04,false,false
2024-06,PARAMS-02,iblooming,starter,GROUP-A,7296955.26,92400.00,7272.63,1967.37,9240.00,2192.50,true,72969.55,25539.34,2024-04,true,true
2024-06,PARAMS-03,bgc,starter,GROUP-A,6324027.89,80080.00,6302.95,1705.05,8008.00,1900.17,true,63240.28,22134.10,2024-04,false,false
2024-06,PARAMS-04,iblooming,starter,GROUP-B,5351100.53,67760.00,5333.26,1442.74,6776.00,1607.83,true,53511.01,18728.85,2024-04,true,false
2024-07,PARAMS-01,bgc,starter,GROUP-A,2769326.05,36944.53,2820.08,874.37,3694.45,3025.16,true,27693.26,9692.64,2024-04,false,false
2024-07,PARAMS-02,iblooming,starter,GROUP-A,2307771.71,30787.11,2350.07,728.64,3078.71,2520.97,true,23077.72,8077.20,2024-04,true,true
2024-07,PARAMS-03,bgc,starter,GROUP-A,2000068.82,26682.16,2036.72,631.49,2668.22,2184.84,true,20000.69,7000.24,2024-04,false,false
2024-07,PARAMS-04,iblooming,starter,GROUP-B,1692365.92,22577.21,1723.38,534.34,2257.72,1848.71,true,16923.66,5923.28,2024-04,true,false
2024-07,PARAMS-05,bgc,builder,GROUP-B,1538514.47,20524.74,1566.71,485.76,2052.47,1680.64,true,15385.14,5384.80,2024-07,true,true
2024-07,PARAMS-06,iblooming,builder,GROUP-B,1384663.03,18472.26,1410.04,437.19,1847.23,1512.58,true,13846.63,4846.32,2024-07,false,true
2024-08,PARAMS-01,bgc,starter,GROUP-A,1691062.11,49198.78,2341.42,2578.46,4919.88,7922.27,true,16910.62,5918.72,2024-04,false,false
2024-08,PARAMS-02,iblooming,starter,GROUP-A,1409218.42,40998.99,1951.18,2148.71,4099.90,6601.89,true,14092.18,4932.26,2024-04,true,true
2024-08,PARAMS-03,bgc,starter,GROUP-A,1221322.63,35532.46,1691.03,1862.22,3553.25,5721.64,true,12213.23,4274.63,2024-04,false,false
2024-08,PARAMS-04,iblooming,starter,GROUP-B,1033426.84,30065.92,1430.87,1575.72,3006.59,4841.39,true,10334.27,3616.99,2024-04,true,false
