period_key,member_key,source_system,member_tier,group_key,pc_volume,sp_reward_basis,global_reward_usd,pool_reward_usd,cashout_usd,sink_spend_usd,active_member,recognized_revenue_usd,gross_margin_usd,member_join_period,is_affiliate,cross_app_active
2025-01,MEMBER-101,bgc,starter,GROUP-A,1300,160,38,15,12,34,true,74,23,2024-10,false,false
2025-01,MEMBER-102,iblooming,builder,GROUP-A,2100,220,60,24,65,84,true,122,39,2024-08,true,true
2025-01,MEMBER-103,bgc,builder,GROUP-B,2400,250,68,28,90,98,true,141,45,2024-07,true,false
2025-01,MEMBER-104,iblooming,leader,GROUP-B,3200,320,92,40,130,148,true,184,59,2024-04,true,true
2025-02,MEMBER-101,bgc,starter,GROUP-A,1360,168,40,16,14,36,true,78,24,2024-10,false,false
2025-02,MEMBER-102,iblooming,builder,GROUP-A,2160,228,62,25,68,88,true,126,40,2024-08,true,true
2025-02,MEMBER-103,bgc,builder,GROUP-B,2480,258,70,29,92,102,true,146,47,2024-07,true,false
2025-02,MEMBER-104,iblooming,leader,GROUP-B,3280,328,94,41,134,153,true,189,60,2024-04,true,true
2025-03,MEMBER-101,bgc,starter,GROUP-A,1420,176,42,17,15,39,true,81,25,2024-10,false,false
2025-03,MEMBER-102,iblooming,builder,GROUP-A,2230,236,64,26,72,92,true,131,42,2024-08,true,true
2025-03,MEMBER-103,bgc,builder,GROUP-B,2550,266,72,30,95,106,true,151,48,2024-07,true,false
2025-03,MEMBER-104,iblooming,leader,GROUP-B,3360,336,96,42,138,158,true,194,62,2024-04,true,true
2025-03,MEMBER-105,bgc,starter,GROUP-C,900,88,22,9,0,18,true,41,13,2025-03,false,false
2025-04,MEMBER-101,bgc,starter,GROUP-A,1480,184,44,18,16,41,true,84,26,2024-10,false,false
2025-04,MEMBER-102,iblooming,builder,GROUP-A,2290,244,66,27,75,96,true,135,43,2024-08,true,true
2025-04,MEMBER-103,bgc,builder,GROUP-B,2620,274,74,31,98,110,true,156,50,2024-07,true,false
2025-04,MEMBER-104,iblooming,leader,GROUP-B,3440,344,98,43,142,163,true,199,64,2024-04,true,true
2025-04,MEMBER-105,bgc,starter,GROUP-C,980,96,24,10,4,21,true,45,14,2025-03,false,false
2025-05,MEMBER-101,bgc,starter,GROUP-A,1540,192,46,19,18,44,true,88,27,2024-10,false,false
2025-05,MEMBER-102,iblooming,builder,GROUP-A,2360,252,68,28,78,101,true,140,45,2024-08,true,true
2025-05,MEMBER-103,bgc,builder,GROUP-B,120,0,0,0,0,0,false,0,0,2024-07,true,false
